timestamp,file,country,city,date,time,name,latitude,longitude
20171129-234754,https://drive.google.com/open?id=1AHFFsaql_rH_yDE45hQoAGXsKKjAzuB7,Israel,Herzliya,"December 6, 2014",11:35:00 AM,solRray,32.199093,34.806747
20171130-101547,https://drive.google.com/open?id=1vArJFaEiKmQt2fREXPYzbUpoj8L2ZqvW,Israel,Netanya,"November 19, 2014",4:20:00 PM,SolRray,32.341566,34.852066
